	token	경주빈도	전주빈도	빈도합	전주비율	경주비율
0	코스	446	481	927	51.89%	48.11%
1	추천	401	301	702	42.88%	57.12%
2	곳	146	455	601	75.71%	24.29%
3	맛집	120	287	407	70.52%	29.48%
4	봉	0	354	354	100.00%	0.00%
5	여수	0	349	349	100.00%	0.00%
6	전	22	314	336	93.45%	6.55%
7	주달	0	304	304	100.00%	0.00%
8	계획	154	61	215	28.37%	71.63%
9	달	13	197	210	93.81%	6.19%
10	숙소	139	60	199	30.15%	69.85%
11	일정	118	80	198	40.40%	59.60%
12	한옥마을	0	193	193	100.00%	0.00%
13	질문	114	78	192	40.62%	59.38%
14	부탁	105	75	180	41.67%	58.33%
15	티비	0	177	177	100.00%	0.00%
16	국내	5	167	172	97.09%	2.91%
17	답변	106	55	161	34.16%	65.84%
18	제주	5	152	157	96.82%	3.18%
19	전문	10	127	137	92.70%	7.30%
20	플	5	128	133	96.24%	3.76%
21	봉이	0	127	127	100.00%	0.00%
22	언서	0	127	127	100.00%	0.00%
23	제주도	0	127	127	100.00%	0.00%
24	친구	44	78	122	63.93%	36.07%
25	한옥	5	117	122	95.90%	4.10%
26	마을	0	117	117	100.00%	0.00%
27	가족	95	20	115	17.39%	82.61%
28	차	70	42	112	37.50%	62.50%
29	안녕	57	53	110	48.18%	51.82%
30	참고	56	45	101	44.55%	55.45%
31	당일치기	25	70	95	73.68%	26.32%
32	길	90	5	95	5.26%	94.74%
33	황리	95	0	95	0.00%	100.00%
34	관련	66	28	94	29.79%	70.21%
35	택시	55	30	85	35.29%	64.71%
36	이번	30	55	85	64.71%	35.29%
37	정도	54	30	84	35.71%	64.29%
38	지	77	5	82	6.10%	93.90%
39	주	25	55	80	68.75%	31.25%
40	예정	40	35	75	46.67%	53.33%
41	공원	15	55	70	78.57%	21.43%
42	준비	45	25	70	35.71%	64.29%
43	근처	30	36	66	54.55%	45.45%
44	버스	23	40	63	63.49%	36.51%
45	시간	23	39	62	62.90%	37.10%
46	아이	45	15	60	25.00%	75.00%
47	엄마	55	5	60	8.33%	91.67%
48	이용	25	35	60	58.33%	41.67%
49	때	35	25	60	41.67%	58.33%
50	터미널	25	30	55	54.55%	45.45%
51	문	40	15	55	27.27%	72.73%
52	가능	24	30	54	55.56%	44.44%
53	장소	25	28	53	52.83%	47.17%
54	날씨	52	0	52	0.00%	100.00%
55	추억	30	22	52	42.31%	57.69%
56	아래	32	20	52	38.46%	61.54%
57	관광지	25	25	50	50.00%	50.00%
58	문화	30	20	50	40.00%	60.00%
59	역사	45	5	50	10.00%	90.00%
60	덕진	0	50	50	100.00%	0.00%
61	방문	36	10	46	21.74%	78.26%
62	관광	15	30	45	66.67%	33.33%
63	남자	15	30	45	66.67%	33.33%
64	혼자	20	25	45	55.56%	44.44%
65	식당	40	5	45	11.11%	88.89%
66	시작	15	30	45	66.67%	33.33%
67	동선	40	5	45	11.11%	88.89%
68	운전	45	0	45	0.00%	100.00%
69	도움	20	25	45	55.56%	44.44%
70	이동	14	30	44	68.18%	31.82%
71	갈만	15	29	44	65.91%	34.09%
72	카페	25	17	42	40.48%	59.52%
73	사람	10	32	42	76.19%	23.81%
74	당일	21	20	41	48.78%	51.22%
75	투어	30	11	41	26.83%	73.17%
76	시장	10	30	40	75.00%	25.00%
77	주말	20	20	40	50.00%	50.00%
78	렌트	15	25	40	62.50%	37.50%
79	여자	25	15	40	37.50%	62.50%
80	대중교통	15	24	39	61.54%	38.46%
81	월지	39	0	39	0.00%	100.00%
82	동물원	0	38	38	100.00%	0.00%
83	펜션	23	15	38	39.47%	60.53%
84	첨성대	37	0	37	0.00%	100.00%
85	아빠	31	5	36	13.89%	86.11%
86	불국사	36	0	36	0.00%	100.00%
87	부모	10	25	35	71.43%	28.57%
88	도착	25	10	35	28.57%	71.43%
89	인	25	10	35	28.57%	71.43%
90	어머니	29	5	34	14.71%	85.29%
91	동궁	34	0	34	0.00%	100.00%
92	체험	10	24	34	70.59%	29.41%
93	감사	0	33	33	100.00%	0.00%
94	비용	0	33	33	100.00%	0.00%
95	가격	10	22	32	68.75%	31.25%
96	박물관	15	16	31	51.61%	48.39%
97	핫	30	1	31	3.23%	96.77%
98	기차	10	20	30	66.67%	33.33%
99	거리	10	20	30	66.67%	33.33%
100	수목원	0	30	30	100.00%	0.00%
101	포항	15	15	30	50.00%	50.00%
102	아들	30	0	30	0.00%	100.00%
103	전라도	0	30	30	100.00%	0.00%
104	플레이스	30	0	30	0.00%	100.00%
105	정보	10	20	30	66.67%	33.33%
106	호텔	7	22	29	75.86%	24.14%
107	비	23	5	28	17.86%	82.14%
108	생각	16	10	26	38.46%	61.54%
109	소개	26	0	26	0.00%	100.00%
110	서울	11	15	26	57.69%	42.31%
111	포함	10	15	25	60.00%	40.00%
112	강아지	0	25	25	100.00%	0.00%
113	남부	0	25	25	100.00%	0.00%
114	처음	15	10	25	40.00%	60.00%
115	학년	15	10	25	40.00%	60.00%
116	말	15	10	25	40.00%	60.00%
117	고등학생	20	5	25	20.00%	80.00%
118	볼거리	15	10	25	40.00%	60.00%
119	명소	15	10	25	40.00%	60.00%
120	가요	18	7	25	28.00%	72.00%
121	도시	20	5	25	20.00%	80.00%
122	도보	20	5	25	20.00%	80.00%
123	국립	15	10	25	40.00%	60.00%
124	하루	20	5	25	20.00%	80.00%
125	첨부	20	5	25	20.00%	80.00%
126	지도	25	0	25	0.00%	100.00%
127	루트	25	0	25	0.00%	100.00%
128	날	20	4	24	16.67%	83.33%
129	위주	14	10	24	41.67%	58.33%
130	추석	8	15	23	65.22%	34.78%
131	특별	23	0	23	0.00%	100.00%
132	야경	18	5	23	21.74%	78.26%
133	얼마	5	17	22	77.27%	22.73%
134	석굴암	21	0	21	0.00%	100.00%
135	확인	16	5	21	23.81%	76.19%
136	산책	0	20	20	100.00%	0.00%
137	완산구	0	20	20	100.00%	0.00%
138	게스트	15	5	20	25.00%	75.00%
139	향교	0	20	20	100.00%	0.00%
140	반려	10	10	20	50.00%	50.00%
141	시절	15	5	20	25.00%	75.00%
142	초등	10	10	20	50.00%	50.00%
143	풀	20	0	20	0.00%	100.00%
144	월드	20	0	20	0.00%	100.00%
145	실패	20	0	20	0.00%	100.00%
146	시내	20	0	20	0.00%	100.00%
147	동반	10	10	20	50.00%	50.00%
148	동안	20	0	20	0.00%	100.00%
149	교통편	20	0	20	0.00%	100.00%
150	한국	10	10	20	50.00%	50.00%
151	요소	5	15	20	75.00%	25.00%
152	경비	5	15	20	75.00%	25.00%
153	한복	5	15	20	75.00%	25.00%
154	필요	5	15	20	75.00%	25.00%
155	렌트카	10	10	20	50.00%	50.00%
156	경험	15	5	20	25.00%	75.00%
157	대부분	5	15	20	75.00%	25.00%
158	용	15	5	20	25.00%	75.00%
159	평일	15	5	20	25.00%	75.00%
160	하우스	15	5	20	25.00%	75.00%
161	다음	10	10	20	50.00%	50.00%
162	채택	15	5	20	25.00%	75.00%
163	뷰	15	5	20	25.00%	75.00%
164	예약	15	5	20	25.00%	75.00%
165	마음	18	0	18	0.00%	100.00%
166	선택	15	3	18	16.67%	83.33%
167	역	0	17	17	100.00%	0.00%
168	블로그	11	5	16	31.25%	68.75%
169	대릉원	16	0	16	0.00%	100.00%
170	토요일	5	11	16	68.75%	31.25%
171	부산	11	5	16	31.25%	68.75%
172	음식	0	16	16	100.00%	0.00%
173	저녁	5	11	16	68.75%	31.25%
174	친정	10	5	15	33.33%	66.67%
175	가을	10	5	15	33.33%	66.67%
176	보문	15	0	15	0.00%	100.00%
177	점심	5	10	15	66.67%	33.33%
178	맞춤	10	5	15	33.33%	66.67%
179	전통	5	10	15	66.67%	33.33%
180	빌라	15	0	15	0.00%	100.00%
181	진행	0	15	15	100.00%	0.00%
182	빵집	15	0	15	0.00%	100.00%
183	술	5	10	15	66.67%	33.33%
184	기본	5	10	15	66.67%	33.33%
185	검색	10	5	15	33.33%	66.67%
186	자차	5	10	15	66.67%	33.33%
187	교통비	5	10	15	66.67%	33.33%
188	할머니	15	0	15	0.00%	100.00%
189	말씀	10	5	15	33.33%	66.67%
190	숨	15	0	15	0.00%	100.00%
191	딸	10	5	15	33.33%	66.67%
192	천마총	15	0	15	0.00%	100.00%
193	여유	15	0	15	0.00%	100.00%
194	예상	5	10	15	66.67%	33.33%
195	조언	10	5	15	33.33%	66.67%
196	방법	0	15	15	100.00%	0.00%
197	리스트	15	0	15	0.00%	100.00%
198	주요	15	0	15	0.00%	100.00%
199	덕진구	0	15	15	100.00%	0.00%
200	분위기	10	5	15	33.33%	66.67%
201	블로거	10	5	15	33.33%	66.67%
202	돈	15	0	15	0.00%	100.00%
203	구경	0	15	15	100.00%	0.00%
204	교통	0	15	15	100.00%	0.00%
205	남산	15	0	15	0.00%	100.00%
206	실내	10	5	15	33.33%	66.67%
207	고등학교	0	15	15	100.00%	0.00%
208	경기전	0	15	15	100.00%	0.00%
209	바닷가	5	10	15	66.67%	33.33%
210	벽화	0	15	15	100.00%	0.00%
211	오전	10	5	15	33.33%	66.67%
